id,nombre,provincia,partido,periodoLegal,periodoReal,reemplazo,observaciones,foto,email,telefono,redes,partido_normalizado,rol_provincial,abstenciones,ausencias,lev.vot.,votos_negativos,no emite,votos_afirmativos,votos_total,participation_pct
400,"Juez, Luis Alfredo",Córdoba,Juntos por el Cambio,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/400.gif,luis.juez@senado.gob.ar,(+54 11) 28223000,,Unión Cívica Radical,Mayoría,0,17,0.0,27,2.0,72,116,82.5
523,"Vigo, Alejandra María",Córdoba,Hacemos por Córdoba,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/523.gif,alejandra.vigo@senado.gob.ar,(+54 11) 28223000,,Hacemos por Córdoba,Primera Minoría,1,19,0.0,21,2.0,75,116,80.83
583,"Almeida, Romina María",Entre Ríos,Alianza la Libertad Avanza,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,,romina.almeida@senado.gob.ar,(+54 11) 28223000,,La Libertad Avanza,Mayoría,0,0,,0,,0,0,0.0
584,"Bahl, Adán Humberto",Entre Ríos,Fuerza Entre Ríos,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,,adan.bahl@senado.gob.ar,(+54 11) 28223000,,Fuerza Entre Ríos,Primera Minoría,0,0,,0,,0,0,0.0
582,"Benegas Lynch, Joaquín Alberto",Entre Ríos,Alianza la Libertad Avanza,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,,joaquin.benegas@senado.gob.ar,(+54 11) 28223000,,La Libertad Avanza,Mayoría,0,0,,0,,0,0,0.0
477,"González, María Teresa Margarita",Formosa,Alianza Unión por la Patria,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/477.gif,maria.gonzalez@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Mayoría,1,1,0.0,17,2.0,97,116,95.83
294,"Mayans, José Miguel Ángel",Formosa,Alianza Unión por la Patria,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/294.gif,mayans@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Mayoría,1,6,0.0,17,2.0,92,116,91.67
551,"Paoltroni, Francisco Manuel",Formosa,Alianza la Libertad Avanza,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/551.gif,francisco.paoltroni@senado.gob.ar,(+54 11) 28223000,,La Libertad Avanza,Primera Minoría,2,13,1.0,43,2.0,57,115,85.0
552,"Atauche, Ezequiel",Jujuy,Partido Renovador Federal,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/552.gif,ezequiel.atauche@senado.gob.ar,(+54 11) 28223000,,Partido Renovador Federal,Mayoría,6,11,0.0,43,2.0,56,116,87.5
553,"Bedia, Vilma Facunda",Jujuy,Partido Renovador Federal,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/553.gif,vilma.bedia@senado.gob.ar,(+54 11) 28223000,,Partido Renovador Federal,Mayoría,4,12,0.0,42,2.0,58,116,86.67
554,"Moises, María Carolina",Jujuy,Alianza Unión por la Patria,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/554.gif,maria.moises@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Primera Minoría,0,0,,0,,0,0,0.0
532,"Bensusán, Daniel Pablo",La Pampa,Frente de Todos,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/532.gif,daniel.bensusan@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Primera Minoría,1,19,0.0,15,2.0,81,116,80.83
531,"Huala, María Victoria",La Pampa,Juntos por el Cambio,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/531.gif,victoria.huala@senado.gob.ar,(+54 11) 28223000,,Unión Cívica Radical,Mayoría,0,0,,0,,0,0,0.0
530,"Kroneberger, Daniel Ricardo",La Pampa,Juntos por el Cambio,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/530.gif,daniel.kroneberger@senado.gob.ar,(+54 11) 28223000,,Unión Cívica Radical,Mayoría,0,6,0.0,17,2.0,93,116,91.67
555,"López, María Florencia",La Rioja,Alianza Unión por la Patria,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/555.gif,florencia.lopez@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Mayoría,3,5,0.0,16,2.0,92,116,92.5
557,"Pagotto, Juan Carlos",La Rioja,Alianza la Libertad Avanza,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/557.gif,juan.pagotto@senado.gob.ar,(+54 11) 28223000,,La Libertad Avanza,Primera Minoría,4,11,0.0,43,2.0,58,116,87.5
556,"Rejal, Jesús Fernando",La Rioja,Alianza Unión por la Patria,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/556.gif,jesus.rejal@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Mayoría,1,9,0.0,16,2.0,90,116,89.17
571,"Suárez, Rodolfo Alejandro",Mendoza,Frente Cambia Mendoza,"{'inicio': '2023-12-09', 'fin': '2027-12-09'}","{'inicio': '2023-12-09', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/571.gif,rodolfo.suarez@senado.gob.ar,(+54 11) 28223000,,Frente Cambia Mendoza,Mayoría,1,48,0.0,14,1.0,54,117,57.5
533,"Cornejo, Alfredo Victor",Mendoza,Frente Cambia Mendoza,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': '2023-12-09'}",,,https://api.argentinadatos.com/static/senado/senadores/533.gif,,,,Frente Cambia Mendoza,Mayoría,0,0,,0,,0,0,0.0
468,"Fernández Sagasti, Anabel",Mendoza,Frente de Todos,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/468.gif,anabel.fernandezsagasti@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Primera Minoría,1,13,0.0,16,2.0,86,116,85.83
558,"Arce, Carlos Omar",Misiones,Frente Renovador de la Concordia-Innovación Federal,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/558.gif,carlos.arce@senado.gob.ar,(+54 11) 28223000,,Frente Renovador de la Concordia-Innovación Federal,Mayoría,6,10,0.0,13,1.0,88,117,89.17
560,"Goerling Lara, Enrique Martin",Misiones,Juntos por el Cambio,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/560.gif,martin.goerling@senado.gob.ar,(+54 11) 28223000,,Unión Cívica Radical,Primera Minoría,0,0,,0,,0,0,0.0
559,"Rojas Decut, Sonia Elizabeth",Misiones,Frente Renovador de la Concordia-Innovación Federal,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/559.gif,sonia.rojas@senado.gob.ar,(+54 11) 28223000,,Frente Renovador de la Concordia-Innovación Federal,Mayoría,6,9,0.0,13,1.0,89,117,90.0
586,"Cervi, Mario Pablo",Neuquén,Alianza la Libertad Avanza,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,,mario.cervi@senado.gob.ar,(+54 11) 28223000,,La Libertad Avanza,Mayoría,0,0,,0,,0,0,0.0
587,"Corroza, Julieta",Neuquén,la Neuquinidad,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,,julieta.corroza@senado.gob.ar,(+54 11) 28223000,,la Neuquinidad,Primera Minoría,0,0,,0,,0,0,0.0
585,"Márquez, Nadia Judith",Neuquén,Alianza la Libertad Avanza,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,,nadia.marquez@senado.gob.ar,(+54 11) 28223000,,La Libertad Avanza,Mayoría,0,0,,0,,0,0,0.0
589,"Marks, Ana Inés",Río Negro,Fuerza Patria,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,,ana.marks@senado.gob.ar,(+54 11) 28223000,,Fuerza Patria,Mayoría,0,0,,0,,0,0,0.0
588,"Soria, Martin Ignacio",Río Negro,Fuerza Patria,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,,martin.soria@senado.gob.ar,(+54 11) 28223000,,Fuerza Patria,Mayoría,0,0,,0,,0,0,0.0
592,"Guzmán Coraita, Gonzalo",Salta,Alianza la Libertad Avanza,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,,gonzalo.guzman@senado.gob.ar,(+54 11) 28223000,,La Libertad Avanza,Mayoría,0,0,,0,,0,0,0.0
591,"Orozco, María Emilia",Salta,Alianza la Libertad Avanza,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,,maria.orozco@senado.gob.ar,(+54 11) 28223000,,La Libertad Avanza,Mayoría,0,0,,0,,0,0,0.0
593,"Royón, Flavia Gabriela",Salta,Primero Los Salteños,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,,flavia.royon@senado.gob.ar,(+54 11) 28223000,,Primero Los Salteños,Primera Minoría,0,0,,0,,0,0,0.0
562,"Giménez Navarro, María Celeste",San Juan,Alianza Unión por la Patria,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/562.gif,mcgimeneznavarro@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Mayoría,1,5,0.0,17,2.0,93,116,92.5
563,"Olivera Lucero, Bruno Antonio",San Juan,Alianza la Libertad Avanza,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/563.gif,bruno.olivera@senado.gob.ar,(+54 11) 28223000,,La Libertad Avanza,Primera Minoría,2,13,0.0,43,2.0,58,116,85.83
561,"Uñac, Sergio Mauricio",San Juan,Alianza Unión por la Patria,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/561.gif,sergio.unac@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Mayoría,0,17,0.0,15,2.0,84,116,82.5
564,"Abdala, Bartolomé Esteban",San Luis,Alianza la Libertad Avanza,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/564.gif,bartolome.abdala@senado.gob.ar,(+54 11) 28223000,,La Libertad Avanza,Mayoría,4,10,0.0,42,2.0,60,116,88.33
565,"Arrascaeta, Ivanna Marcela",San Luis,Alianza la Libertad Avanza,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/565.gif,ivanna.arrascaeta@senado.gob.ar,(+54 11) 28223000,,La Libertad Avanza,Mayoría,1,15,0.0,43,2.0,57,116,84.17
566,"Salino, Fernando Aldo",San Luis,Alianza Unión por la Patria,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/566.gif,fernando.salino@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Primera Minoría,2,1,0.0,16,2.0,97,116,95.83
567,"Carambia, José María",Santa Cruz,Alianza por Santa Cruz,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/567.gif,jose.carambia@senado.gob.ar,(+54 11) 28223000,,Alianza por Santa Cruz,Mayoría,2,11,0.0,13,1.0,91,117,88.33
568,"Gadano, Natalia Elena",Santa Cruz,Alianza por Santa Cruz,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/568.gif,natalia.gadano@senado.gob.ar,(+54 11) 28223000,,Alianza por Santa Cruz,Mayoría,2,9,0.0,13,1.0,93,117,90.0
366,"Kirchner, Alicia Margarita Antonia",Santa Cruz,Alianza Unión por la Patria,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/366.gif,alicia.kirchner@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Primera Minoría,2,3,0.0,18,2.0,93,116,94.17
573,"Galaretto, Eduardo Horacio",Santa Fe,Juntos por el Cambio,"{'inicio': '2023-12-10', 'fin': '2027-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/573.gif,eduardo.galaretto@senado.gob.ar,(+54 11) 28223000,,Unión Cívica Radical,Mayoría,1,7,0.0,17,1.0,92,117,91.67
536,"Losada, Carolina",Santa Fe,Juntos por el Cambio,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/536.gif,carolina.losada@senado.gob.ar,(+54 11) 28223000,,Unión Cívica Radical,Mayoría,1,16,0.0,16,1.0,84,117,84.17
538,"Lewandowski, Marcelo Nestor",Santa Fe,Frente de Todos,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/538.gif,marcelo.lewandowski@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Primera Minoría,0,0,,0,,0,0,0.0
594,"Moreno, Elia Esther del Carmen",Santiago del Estero,Frente Cívico por Santiago,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,,elia.moreno@senado.gob.ar,(+54 11) 28223000,,Frente Cívico por Santiago,Mayoría,0,0,,0,,0,0,0.0
510,"Neder, José Emilio",Santiago del Estero,Frente Fuerza Patria Peronista,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/510.gif,jose.neder@senado.gob.ar,(+54 11) 28223000,,Fuerza Patria,Primera Minoría,0,17,0.0,15,2.0,84,116,82.5
450,"Zamora, Gerardo",Santiago del Estero,Frente Cívico por Santiago,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/450.gif,gerardo.zamora@senado.gob.ar,(+54 11) 28223000,,Frente Cívico por Santiago,Mayoría,0,0,,0,,0,0,0.0
595,"Coto, Agustín Pedro","Tierra del Fuego, Antártida e Islas del Atlántico Sur",Alianza la Libertad Avanza,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,,agustin.coto@senado.gob.ar,(+54 11) 28223000,,La Libertad Avanza,Mayoría,0,0,,0,,0,0,0.0
574,"López, Cándida Cristina","Tierra del Fuego, Antártida e Islas del Atlántico Sur",Alianza Frente de Todos,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/574.gif,cristina.lopez@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Primera Minoría,1,3,0.0,18,2.0,94,116,94.17
596,"Monte de Oca, María Belen","Tierra del Fuego, Antártida e Islas del Atlántico Sur",Alianza la Libertad Avanza,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,,belen.montesdeoca@senado.gob.ar,(+54 11) 28223000,,La Libertad Avanza,Mayoría,0,0,,0,,0,0,0.0
541,"Avila, Beatriz Luisa",Tucumán,Juntos por el Cambio,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/541.gif,beatriz.avila@senado.gob.ar,(+54 11) 28223000,,Unión Cívica Radical,Primera Minoría,0,0,,0,,0,0,0.0
576,"Manzur, Juan Luis",Tucumán,Alianza Frente de Todos,"{'inicio': '2023-12-09', 'fin': '2027-12-09'}","{'inicio': '2023-12-09', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/576.gif,juan.manzur@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Mayoría,0,6,0.0,15,2.0,95,116,91.67
540,"Mendoza, Sandra Mariela",Tucumán,Frente de Todos,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/540.gif,sandra.mendoza@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Mayoría,0,17,0.0,14,2.0,85,116,82.5
,"di Tullio,

                                        

                                                                                    Juliana",Buenos Aires,Alianza Unión por la Patria,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}",{},,Incorporado desde senado.gob.ar (ausente en API),,juliana.ditullio@senado.gob.ar,,,Unión por la Patria,Mayoría,0,0,,0,,0,0,0.0
,"Fullone,


                                        

                                                                                    Enzo Paolo",Río Negro,Alianza la Libertad Avanza,"{'inicio': '2025-12-26', 'fin': '2031-12-09'}",{},,Incorporado desde senado.gob.ar (ausente en API),,enzo.fullone@senado.gob.ar,,,La Libertad Avanza,Primera Minoría,0,0,,0,,0,0,0.0
