id,nombre,provincia,partido,foto,email,telefono,periodo_inicio,periodo_fin
519,"Andrada, Guillermo Eduardo",Catamarca,Frente de Todos,https://api.argentinadatos.com/static/senado/senadores/519.gif,guillermo.andrada@senado.gob.ar,(+54 11) 28223000,2021-12-10,2027-12-09
207,"Angeloz, Eduardo Cesar",Córdoba,Unión Cívica Radical,https://api.argentinadatos.com/static/senado/senadores/207.gif,,,1973-05-03,1977-03-30
3203,"Angulo, Rodolfo Antonio",Catamarca,Sin Especificar,,,,1952-04-25,1955-04-30
3502,"Antille, Armando G.",Santa Fe,Sin Especificar,,,,1946-05-22,1952-04-30
3128,"Antinucci, Atilio",Córdoba,Sin Especificar,,,,1952-06-11,1958-04-30
3213,"Aparicio, Castulo",Jujuy,Sin Especificar,,,,1895-05-06,1904-04-30
3066,"Arana, Tomas Pedro",Buenos Aires,Unión Cívica Radical,,,,1958-03-31,1967-04-30
3537,"Arancibia Rodriguez, Alberto",San Luis,Democrata Nacional,,,,1935-05-02,1944-04-30
296,"Arancio de Beller, Lylia Mónica",Jujuy,Unión Cívica Radical,https://api.argentinadatos.com/static/senado/senadores/296.gif,,,2001-12-10,2005-12-09
3231,"Araoz, Daniel",Jujuy,Sin Especificar,,,,1868-05-02,1877-04-30
49,"Araujo, Ramon A.",Tucumán,Justicialista,,,,1983-11-29,1992-12-09
558,"Arce, Carlos Omar",Misiones,Frente Renovador de la Concordia-Innovación Federal,https://api.argentinadatos.com/static/senado/senadores/558.gif,carlos.arce@senado.gob.ar,(+54 11) 28223000,2023-12-10,2029-12-09
3409,"Arenas, Mario",Mendoza,Democrata Nacional,,,,1932-01-20,1941-01-19
3473,"Argento, Aureliano",Santa Fe,Sin Especificar,,,,1874-06-20,1883-04-30
3133,"Arias, Fernando",Salta,Sin Especificar,,,,1857-05-12,1866-04-30
3134,"Arias, Jose Manuel",Salta,Sin Especificar,,,,1871-07-01,1880-04-30
3150,"Arias, Tomas",Salta,Sin Especificar,,,,1857-05-12,1866-04-30
252,"Arnold, Eduardo Ariel",Santa Cruz,Justicialista,,,,1998-12-09,2001-12-09
565,"Arrascaeta, Ivanna Marcela",San Luis,Alianza la Libertad Avanza,https://api.argentinadatos.com/static/senado/senadores/565.gif,ivanna.arrascaeta@senado.gob.ar,(+54 11) 28223000,2023-12-10,2029-12-09
3081,"Arrieta, Alfredo J. L.",Buenos Aires,Sin Especificar,,,,1946-07-03,1952-04-30
3236,"Arrieta, Herminio",Jujuy,Democrata Nacional,,,,1938-05-02,1947-04-30
402,"Artaza, Eugenio Justiniano",Corrientes,Encuentro por Corrientes (A.c. y S.),https://api.argentinadatos.com/static/senado/senadores/402.gif,,,2009-12-10,2015-12-09
3485,"Astudillo, Felix Eduardo",Santa Fe,U. C. R. Intransigente,,,,1963-08-12,1969-04-30
552,"Atauche, Ezequiel",Jujuy,Partido Renovador Federal,https://api.argentinadatos.com/static/senado/senadores/552.gif,ezequiel.atauche@senado.gob.ar,(+54 11) 28223000,2023-12-10,2029-12-09
3444,"Avalos, Pedro Isaac",Misiones,Frejuli,,,,1973-05-03,1977-03-30
316,"Avelin de Ginestar, Nancy",San Juan,Cruzada Renovadora de San Juan,https://api.argentinadatos.com/static/senado/senadores/316.gif,,,2001-12-10,2005-12-09
85,"Avelin, Alfredo",San Juan,Cruzada Renovadora de San Juan,https://api.argentinadatos.com/static/senado/senadores/85.gif,,,1992-12-02,2001-12-09
3309,"Avellaneda, Lidoro  J.",La Rioja,Sin Especificar,,,,1898-05-02,1907-04-30
3017,"Avellaneda, Marco",Ciudad Autónoma de Buenos Aires,Sin Especificar,,,,1910-04-29,1919-04-30
3586,"Avellaneda, Nicolas",Tucumán,Sin Especificar,,,,1877-05-03,1886-04-30
3556,"Avendaño, Arcadio B.",Santiago del Estero,Sin Especificar,,,,1946-05-22,1952-04-30
541,"Avila, Beatriz Luisa",Tucumán,Juntos por el Cambio,https://api.argentinadatos.com/static/senado/senadores/541.gif,beatriz.avila@senado.gob.ar,(+54 11) 28223000,2021-12-10,2027-12-09
3592,"Aybar Augier, Alberto",Tucumán,Sin Especificar,,,,1919-04-30,1928-04-30
3170,"Azar, Moises",Formosa,Sin Especificar,,,,1961-04-28,1970-04-30
303,"Baglini, Raúl Eduardo",Mendoza,Unión Cívica Radical,https://api.argentinadatos.com/static/senado/senadores/303.gif,,,2001-12-10,2003-12-09
584,"Bahl, Adán Humberto",Entre Ríos,Fuerza Entre Ríos,,adan.bahl@senado.gob.ar,(+54 11) 28223000,2025-12-10,2031-12-09
3266,"Baibiene, Santiago",Corrientes,Sin Especificar,,,,1880-06-04,1889-04-30
3369,"Baltore, Jose R.",Entre Ríos,Sin Especificar,,,,1880-05-30,1889-04-30
397,"Banicevich, Jorge Esteban",Santa Cruz,Frente para la Victoria,https://api.argentinadatos.com/static/senado/senadores/397.gif,,,2009-05-13,2011-12-09
290,"Bar, Graciela Yolanda",Entre Ríos,Justicialista,https://api.argentinadatos.com/static/senado/senadores/290.gif,,,2001-12-10,2007-12-09
3534,"Barbeito, Juan A.",San Luis,Sin Especificar,,,,1892-05-23,1901-04-30
3462,"Barbich, Adolfo Alejandro",Santa Cruz,U. C. R. Del Pueblo,,,,1963-08-12,1972-04-30
3486,"Barbora de Nasif, Yamili",Santa Fe,Frejuli,,,,1973-05-03,1977-04-30
3080,"Barcelo, Alberto",Buenos Aires,Conservador,,,,1941-01-19,1950-01-19
3230,"Barcena, Jose Benito",Jujuy,Sin Especificar,,,,1854-10-17,1863-04-30
3493,"Barco, Geronimo Del",Santa Fe,Sin Especificar,,,,1862-08-19,1868-04-30
3005,"Baroni, Danilo Luis",Chaco,Frejuli,,,,1973-05-03,1977-03-30
3345,"Barra, Federico de La",San Juan,Sin Especificar,,,,1860-05-11,1869-04-30
3549,"Barraza, Pedro S.",Santiago del Estero,Sin Especificar,,,,1895-05-06,1904-04-30
277,"Barrionuevo, José Luis",Catamarca,Justicialista,,,,2001-12-10,2003-12-09
418,"Barrionuevo, Walter Basilio",Jujuy,Alianza Frente para la Victoria,https://api.argentinadatos.com/static/senado/senadores/418.gif,,,2011-12-10,2017-12-09
3291,"Barros, Nicolas",La Rioja,Sin Especificar,,,,1889-05-16,1898-04-30
240,"Bartolucci, Mario Luis",San Luis,Justicialista,https://api.argentinadatos.com/static/senado/senadores/240.gif,,,1995-11-29,2001-12-09
3375,"Basaldua, Juan Carlos",Entre Ríos,Sin Especificar,,,,1949-04-26,1952-04-30
3042,"Bassi, Ricardo Alberto",Ciudad Autónoma de Buenos Aires,U. C. R. Del Pueblo,,,,1963-08-12,1972-04-30
362,"Basualdo, Roberto Gustavo",San Juan,Alianza Cambiemos San Juan,https://api.argentinadatos.com/static/senado/senadores/362.gif,,,2017-12-10,2023-12-09
3282,"Bauducco, Jose Raul",La Pampa,U.d.e.l.p.a.,,,,1963-08-12,1972-04-30
208,"Baum, Daniel",Neuquén,Justicialista,https://api.argentinadatos.com/static/senado/senadores/208.gif,,,1995-11-29,2001-12-09
236,"Bauza, Eduardo",Mendoza,Justicialista,,,,1992-12-16,2001-12-09
3143,"Bavio, Ernesto F.",Salta,Sin Especificar,,,,1946-05-22,1955-04-30
3495,"Bayo, Servando",Santa Fe,Sin Especificar,,,,1877-05-03,1886-04-30
3484,"Bayol, Augusto G.",Santa Fe,Sin Especificar,,,,1958-05-02,1964-04-30
3306,"Bazan, Abel",La Rioja,Sin Especificar,,,,1871-06-20,1880-04-30
3188,"Bazan, Eduardo",Catamarca,Sin Especificar,,,,1958-03-31,1964-04-30
3318,"Bazan, Miguel Angel",La Rioja,Sin Especificar,,,,1952-04-25,1955-04-30
3281,"Beascochea, Raul Enrique",La Pampa,Sin Especificar,,,,1961-07-05,1964-04-30
553,"Bedia, Vilma Facunda",Jujuy,Partido Renovador Federal,https://api.argentinadatos.com/static/senado/senadores/553.gif,vilma.bedia@senado.gob.ar,(+54 11) 28223000,2023-12-10,2029-12-09
3457,"Belenguer, Emilio",Río Negro,Frejuli,,,,1973-05-03,1977-03-31
582,"Benegas Lynch, Joaquín Alberto",Entre Ríos,Alianza la Libertad Avanza,,joaquin.benegas@senado.gob.ar,(+54 11) 28223000,2025-12-10,2031-12-09
3405,"Benegas, Tiburcio",Mendoza,Sin Especificar,,,,1895-05-06,1904-04-30
3463,"Beni, Juan Carlos Eduardo",Santa Cruz,Frejuli,,,,1973-05-03,1977-03-31
3,"Benitez, Alfredo L.",Jujuy,Justicialista,https://api.argentinadatos.com/static/senado/senadores/3.gif,,,1983-12-21,1992-12-09
3387,"Benitez, Apolinario",Entre Ríos,Sin Especificar,,,,1871-08-01,1880-04-30
532,"Bensusán, Daniel Pablo",La Pampa,Frente de Todos,https://api.argentinadatos.com/static/senado/senadores/532.gif,daniel.bensusan@senado.gob.ar,(+54 11) 28223000,2021-12-10,2027-12-09
50,"Berhongaray, Antonio Tomas",La Pampa,Unión Cívica Radical,https://api.argentinadatos.com/static/senado/senadores/50.gif,,,1983-11-29,1989-12-09
333,"Bermejo, Norma Nélida",Córdoba,Laborista,https://api.argentinadatos.com/static/senado/senadores/333.gif,,,2001-12-10,2003-12-09
408,"Bermejo, Rolando Adolfo",Mendoza,Alianza Frente para la Victoria,,,,2009-12-10,2015-12-09
3525,"Bernardo, Miguel Angel",San Luis,U. C. R. Intransigente,,,,1963-12-11,1966-04-30
3539,"Bertin, Alfredo Felipe",San Luis,Sin Especificar,,,,1958-03-31,1964-04-30
447,"Bertone, Rosana Andrea","Tierra del Fuego, Antártida e Islas del Atlántico Sur",Frente para la Victoria,,,,2013-12-10,2019-12-09
3377,"Bertora, Jose Maria Antonio",Entre Ríos,Sin Especificar,,,,1958-03-31,1967-04-30
3002,"Biain, Pablo",Chaco,Sin Especificar,,,,1958-03-31,1964-04-30
377,"Biancalani, Fabio Dario",Chaco,Alianza Frente Just. Chaco Merece Más,https://api.argentinadatos.com/static/senado/senadores/377.gif,,,2007-12-10,2013-12-09
4,"Bittel, Deolindo Felipe",Chaco,Justicialista,https://api.argentinadatos.com/static/senado/senadores/4.gif,,,1989-12-06,1998-12-09
3303,"Blanco, Eufemio Rodolfo",La Rioja,Frejuli,,,,1973-05-03,1977-03-30
3421,"Blanco, Eusebio",Mendoza,Sin Especificar,,,,1865-05-01,1874-04-30
511,"Blanco, Pablo Daniel","Tierra del Fuego, Antártida e Islas del Atlántico Sur",Juntos por el Cambio Tierra del Fuego,https://api.argentinadatos.com/static/senado/senadores/511.gif,,,2019-12-10,2025-12-09
3576,"Blanco, Ramon",Santiago del Estero,Sin Especificar,,,,1955-04-26,1961-04-30
3067,"Blanco, Ruben Victor M.",Buenos Aires,U. C. R. Del Pueblo,,,,1963-08-12,1969-04-30
427,"Blas, Inés Imelda",Catamarca,Alianza Frente para la Victoria,https://api.argentinadatos.com/static/senado/senadores/427.gif,,,2015-12-10,2021-12-09
385,"Bongiorno, Maria Jose",Río Negro,Alianza Frente para la Victoria,https://api.argentinadatos.com/static/senado/senadores/385.gif,,,2007-12-10,2013-12-09
91,"Bordon, Jose Octavio",Mendoza,Justicialista,,,,1992-12-16,2001-12-09
3507,"Borella, Alberto Omar",Santa Fe,Sin Especificar,,,,1958-03-31,1964-04-30
429,"Borello, Marta",Córdoba,Unión Cívica Radical,,,,2011-12-10,2015-12-09
3544,"Borges, Juan Francisco",Santiago del Estero,Sin Especificar,,,,1868-05-23,1874-04-30
3402,"Borja Correa, Francisco De",Mendoza,Sin Especificar,,,,1862-05-24,1868-04-30
354,"Bortolozzi, Adriana Raquel",Formosa,Alianza Frente para la Victoria,https://api.argentinadatos.com/static/senado/senadores/354.gif,,,2005-12-10,2011-12-09
453,"Boyadjian, Miriam Ruth","Tierra del Fuego, Antártida e Islas del Atlántico Sur",Movimiento Popular Fueguino,https://api.argentinadatos.com/static/senado/senadores/453.gif,,,2013-12-10,2019-12-09
463,"Braillard Poccard, Néstor Pedro",Corrientes,Alianza Encuentro Corrientes,https://api.argentinadatos.com/static/senado/senadores/463.gif,,,2015-12-10,2021-12-09
86,"Branda, Ricardo Alberto",Formosa,Justicialista,https://api.argentinadatos.com/static/senado/senadores/86.gif,,,1992-12-02,2001-12-09
5,"Brasesco, Luis A. J.",Entre Ríos,Unión Cívica Radical,https://api.argentinadatos.com/static/senado/senadores/5.gif,,,1983-11-29,1992-12-09
7,"Bravo Herrera, Horacio F.",Salta,Justicialista,https://api.argentinadatos.com/static/senado/senadores/7.gif,,,1983-11-29,1992-12-09
3362,"Bravo, Federico Saturnino",San Juan,Bloquista de San Juan,,,,1966-04-26,1975-04-30
6,"Bravo, Leopoldo",San Juan,Bloquista de San Juan,https://api.argentinadatos.com/static/senado/senadores/6.gif,,,1986-11-28,1995-12-09
3036,"Bravo, Mario",Ciudad Autónoma de Buenos Aires,Socialista,,,,1923-03-20,1931-04-30
3412,"Brisoli, Blas",Mendoza,Sin Especificar,,,,1952-06-11,1958-04-30
8,"Britos, Oraldo Norvel",San Luis,Justicialista,https://api.argentinadatos.com/static/senado/senadores/8.gif,,,1986-12-17,1995-12-09
3319,"Brizuela Nieto, Vicente Bernabe",La Rioja,Peronista,,,,1955-04-26,1961-04-30
275,"Brizuela del Moral, Eduardo Segundo",Catamarca,Frente Cívico y Social de Catamarca,https://api.argentinadatos.com/static/senado/senadores/275.gif,,,2001-12-10,2003-12-09
483,"Brizuela y Doria de Cara, Olga Ines",La Rioja,Cambiemos Fuerza Cívica Riojana,https://api.argentinadatos.com/static/senado/senadores/483.gif,,,2017-12-10,2023-12-09
3208,"Brizuela, Guillermo Ramon",Catamarca,Al. Pop. Federalista-Catamarca,,,,1973-05-03,1977-03-30
3242,"Brizuela, Hugo Genaro",Jujuy,Frejuli,,,,1973-05-03,1977-03-30
3573,"Bruchmann, Carlos A.",Santiago del Estero,Socialista,,,,1932-01-20,1938-04-30
3204,"Brunello, Duilio Antonio Rafael",Catamarca,Sin Especificar,,,,1955-04-26,1961-04-30
3501,"Bullo, Juan M.",Santa Fe,Sin Especificar,,,,1922-06-26,1931-04-30
478,"Bullrich, Esteban José",Buenos Aires,Cambiemos Buenos Aires,https://api.argentinadatos.com/static/senado/senadores/478.gif,,,2017-12-10,2023-12-09
580,"Bullrich, Patricia",Ciudad Autónoma de Buenos Aires,Alianza la Libertad Avanza,,patricia.bullrich@senado.gob.ar,(+54 11) 28223000,2025-12-10,2031-12-09
3062,"Busquet, Alfredo",Buenos Aires,Sin Especificar,,,,1946-07-03,1949-04-30
348,"Bussi, Ricardo Argentino",Tucumán,Fuerza Republicana,https://api.argentinadatos.com/static/senado/senadores/348.gif,,,2003-12-10,2009-12-09
289,"Busti, Jorge Pedro",Entre Ríos,Justicialista,,,,2001-12-10,2007-12-09
3290,"Bustos, Francisco V.",La Rioja,Sin Especificar,,,,1889-05-16,1898-04-30
3478,"Caballero, Ricardo",Santa Fe,Unión Cívica Radical,,,,1935-04-30,1944-04-30
87,"Cabana, Fernando V.",Jujuy,Justicialista,https://api.argentinadatos.com/static/senado/senadores/87.gif,,,1992-12-02,2001-12-09
374,"Cabanchik, Samuel Manuel",Ciudad Autónoma de Buenos Aires,Alianza Coalición Cívica,https://api.argentinadatos.com/static/senado/senadores/374.gif,,,2007-12-10,2013-12-09
422,"Cabral, Salvador",Misiones,Frente Renovador de la Concordia,https://api.argentinadatos.com/static/senado/senadores/422.gif,,,2011-12-10,2017-12-09
3174,"Caceres, Ruben Osvaldo",Formosa,Unión Cívica Radical,,,,1973-05-03,1977-03-31
88,"Cafiero, Antonio Francisco",Buenos Aires,Justicialista,https://api.argentinadatos.com/static/senado/senadores/88.gif,,,2001-12-10,2005-12-09
393,"Calcagno y Maillmann, Eric",Buenos Aires,Frente para la Victoria,,,,2007-12-10,2011-12-09
3301,"Calderon, Segundo Rosa",La Rioja,Sin Especificar,,,,1958-03-31,1964-04-30
3023,"Calviño de Gomez, Maria Rosa",Ciudad Autónoma de Buenos Aires,Peronista,,,,1952-04-25,1955-04-30
3245,"Calvo, Nicolas Antonio",Corrientes,Sin Especificar,,,,1860-05-11,1869-04-30
3027,"Cambaceres, Antonino C.",Ciudad Autónoma de Buenos Aires,Sin Especificar,,,,1886-05-05,1895-04-30
3111,"Campillo, Cleto Del",Córdoba,Sin Especificar,,,,1857-05-12,1866-04-30
3121,"Campillo, Donaciano Del",Córdoba,Sin Especificar,,,,1901-06-08,1910-04-30
3603,"Campo, Jose Maria Del",Tucumán,Sin Especificar,,,,1862-04-30,1868-04-30
3415,"Campora, Pedro Lindolfo",Mendoza,Frejuli,,,,1973-05-03,1977-03-31
3235,"Campos, Rudecindo S.",Jujuy,Popular de Jujuy,,,,1932-01-20,1938-04-30
3032,"Cane, Miguel",Ciudad Autónoma de Buenos Aires,Sin Especificar,,,,1898-11-15,1904-04-30
410,"Cano, Jose Manuel",Tucumán,Frente Acuerdo Cívico y Social,https://api.argentinadatos.com/static/senado/senadores/410.gif,,,2009-12-10,2015-12-09
209,"Cantarero, Emilio Marcelo",Salta,Justicialista,https://api.argentinadatos.com/static/senado/senadores/209.gif,,,1992-12-02,2001-12-09
3354,"Cantoni, Aldo",San Juan,U. C. R. Antipersonalista,,,,1932-01-20,1941-01-10
3361,"Cantoni, Aldo Hermes N.",San Juan,U.c.r. Bloquista San Juan,,,,1963-12-11,1966-04-30
3343,"Cantoni, Apolo",San Juan,Frejuli,,,,1973-05-03,1977-03-31
325,"Caparrós, Mabel Luisa","Tierra del Fuego, Antártida e Islas del Atlántico Sur",Justicialista,https://api.argentinadatos.com/static/senado/senadores/325.gif,,,2001-12-10,2007-12-09
285,"Capitanich, Jorge Milton",Chaco,Fuerza Patria,https://api.argentinadatos.com/static/senado/senadores/285.gif,jorge.capitanich@senado.gob.ar,(+54 11) 28223000,2025-12-10,2031-12-09
353,"Capos, Liliana","Tierra del Fuego, Antártida e Islas del Atlántico Sur",Unión Cívica Radical,https://api.argentinadatos.com/static/senado/senadores/353.gif,,,2004-02-24,2007-12-09
3448,"Capraro, Francisco",Neuquén,Movimiento Popular Neuquino,,,,1963-08-12,1966-04-30
567,"Carambia, José María",Santa Cruz,Alianza por Santa Cruz,https://api.argentinadatos.com/static/senado/senadores/567.gif,jose.carambia@senado.gob.ar,(+54 11) 28223000,2023-12-10,2029-12-09
3390,"Carbo, Enrique",Entre Ríos,Sin Especificar,,,,1907-04-30,1916-04-30
256,"Carbonell, Jose Fernando Francisco",Tucumán,Justicialista,https://api.argentinadatos.com/static/senado/senadores/256.gif,,,1992-12-09,2001-12-09
3108,"Carnevale, Luis Agustin",Córdoba,Frejuli,,,,1973-05-03,1977-03-31
3164,"Caro, Jose Armando",Salta,Frejuli,,,,1973-05-03,1977-03-31
3561,"Carol, Jose Hilario",Santiago del Estero,Sin Especificar,,,,1854-10-17,1857-04-30
3310,"Carreño, Leonidas",La Rioja,Sin Especificar,,,,1907-04-30,1916-04-30
3327,"Carril, Jose Maria Del",San Juan,Sin Especificar,,,,1871-07-11,1880-04-30
3385,"Carril, Salvador Maria Del",Entre Ríos,Sin Especificar,,,,1862-05-24,1871-04-30
3215,"Carrillo, Manuel",Jujuy,Sin Especificar,,,,1904-05-02,1913-04-30
3211,"Carrillo, Pablo",Jujuy,Sin Especificar,,,,1877-06-07,1886-04-30
51,"Carrizo, Macario",Córdoba,Unión Cívica Radical,https://api.argentinadatos.com/static/senado/senadores/51.gif,,,1986-11-28,1995-12-09
3001,"Casco de Aguer, Maria del Carmen",Chaco,Peronista,,,,1953-04-25,1958-04-30
460,"Caserio, Carlos Alberto",Córdoba,Alianza Unión por Córdoba,https://api.argentinadatos.com/static/senado/senadores/460.gif,,,2015-12-10,2021-12-09
3552,"Castañeda Vega, Francisco",Santiago del Estero,Conservador,,,,1913-04-29,1922-04-30
3505,"Castañeira de Vaccaro, Hilda Nelida",Santa Fe,Sin Especificar,,,,1952-04-25,1958-04-30
3579,"Castiglione, Jose Francisco Luis",Santiago del Estero,U. C. R. Del Pueblo,,,,1963-08-12,1969-04-30
337,"Castillo, Oscar Aníbal",Catamarca,Frente Cívico y Social,https://api.argentinadatos.com/static/senado/senadores/337.gif,,,2015-12-10,2021-12-09
3199,"Castillo, Ramon S.",Catamarca,Democrata Nacional,,,,1932-01-20,1935-04-30
3489,"Castillo, Vicente Del",Santa Fe,Sin Especificar,,,,1854-10-17,1863-04-30
52,"Castro, Jorge A.",Santiago del Estero,Justicialista,https://api.argentinadatos.com/static/senado/senadores/52.gif,,,1983-11-29,1986-12-09
3574,"Castro, Juan B.",Santiago del Estero,Unión Cívica Radical,,,,1938-05-02,1947-04-30
322,"Castro, María Elisa",Santiago del Estero,Alianza Frente para la Victoria,https://api.argentinadatos.com/static/senado/senadores/322.gif,,,2001-11-29,2007-12-09
488,"Catalfamo, María Eugenia",San Luis,Frente Unidad Justicialista San Luis,https://api.argentinadatos.com/static/senado/senadores/488.gif,,,2017-12-10,2023-12-09
448,"Catalán Magni, Julio César","Tierra del Fuego, Antártida e Islas del Atlántico Sur",Frente para la Victoria,https://api.argentinadatos.com/static/senado/senadores/448.gif,,,2013-12-10,2019-12-09
3432,"Cañeque, Francisco",Mendoza,Sin Especificar,,,,1958-03-31,1961-04-30
3314,"Ceballos Reyes, Raul",La Rioja,Unión Cívica Radical,,,,1932-01-20,1941-01-19
3125,"Ceballos, Mariano  P.",Córdoba,Democrata Nacional,,,,1932-01-20,1935-04-30
53,"Celli, Felipe",Córdoba,Unión Cívica Radical,https://api.argentinadatos.com/static/senado/senadores/53.gif,,,1983-11-29,1986-12-09
3496,"Cello, Geronimo",Santa Fe,Sin Especificar,,,,1877-05-01,1886-04-30
9,"Cendoya, Jorge Joaquin",Córdoba,Unión Cívica Radical,https://api.argentinadatos.com/static/senado/senadores/9.gif,,,1986-11-28,1995-12-09
3504,"Cepeda, Juan",Santa Fe,Democrata Progresista,,,,1938-05-02,1947-04-30
3559,"Cerro, Francisco Eduardo",Santiago del Estero,Frejuli,,,,1973-05-03,1977-03-31
586,"Cervi, Mario Pablo",Neuquén,Alianza la Libertad Avanza,,mario.cervi@senado.gob.ar,(+54 11) 28223000,2025-12-10,2031-12-09
3427,"Cespedes, Jorge",Mendoza,Sin Especificar,,,,1919-05-01,1928-04-30
3049,"Chaile, Juan Carlos",Chubut,Frejuli,,,,1973-05-03,1977-03-31
